UID,test,TSVR_hours,Days,Room,Item,Name,Score,error_type,Conf
A091,2,22.2,0.9249999999999999,bat,4,Toothbrushes,1,correct,1.0
A091,3,73.64,3.0683333333333334,liv,4,Laptop,1,correct,1.0
A091,4,142.61,5.942083333333334,kit,4,Toaster,1,correct,1.0
A092,1,1.0,0.041666666666666664,liv,4,Laptop,3,perceptual,1.0
A092,2,22.83,0.9512499999999999,bat,4,Toothbrushes,1,correct,1.0
A092,3,71.31,2.97125,kit,4,Toaster,2,perceptual,1.0
A092,4,146.16,6.09,bed,4,Alarm Clock,1,correct,1.0
A093,1,1.0,0.041666666666666664,bat,4,Toothbrushes,1,correct,1.0
A093,2,22.09,0.9204166666666667,kit,4,Toaster,1,correct,0.6
A093,3,70.22,2.9258333333333333,bed,4,Alarm Clock,1,correct,0.8
A093,4,140.95,5.872916666666666,liv,4,Laptop,2,perceptual,0.6
A094,1,1.0,0.041666666666666664,kit,4,Toaster,1,correct,1.0
A094,2,22.98,0.9575,bed,4,Alarm Clock,1,correct,1.0
A094,3,76.21,3.1754166666666666,liv,4,Laptop,1,correct,1.0
A094,4,149.99,6.249583333333334,bat,4,Toothbrushes,1,correct,1.0
A095,1,1.0,0.041666666666666664,bat,4,Toothbrushes,1,correct,1.0
A095,2,29.71,1.2379166666666668,bed,4,Alarm Clock,1,correct,1.0
A095,3,78.76,3.2816666666666667,kit,4,Toaster,1,correct,1.0
A095,4,148.79,6.199583333333333,liv,4,Laptop,1,correct,1.0
A096,1,1.0,0.041666666666666664,bat,4,Toothbrushes,1,correct,1.0
A096,2,24.49,1.0204166666666665,bed,4,Alarm Clock,1,correct,1.0
A096,3,71.19,2.96625,liv,4,Laptop,1,correct,0.8
A096,4,143.66,5.985833333333333,kit,4,Toaster,2,perceptual,1.0
A097,1,1.0,0.041666666666666664,bed,4,Alarm Clock,1,correct,1.0
A097,2,24.37,1.0154166666666666,liv,4,Laptop,1,correct,0.4
A097,3,70.83,2.95125,bat,4,Toothbrushes,1,correct,0.8
A097,4,144.85,6.035416666666666,kit,4,Toaster,1,correct,0.4
A098,1,1.0,0.041666666666666664,liv,4,Laptop,1,correct,1.0
A098,2,25.77,1.07375,kit,4,Toaster,1,correct,1.0
A098,3,78.84,3.285,bed,4,Alarm Clock,1,correct,1.0
A098,4,146.29,6.095416666666666,bat,4,Toothbrushes,1,correct,1.0
A099,1,1.0,0.041666666666666664,bed,4,Alarm Clock,1,correct,1.0
A099,2,28.75,1.1979166666666667,kit,4,Toaster,1,correct,1.0
A099,3,78.57,3.2737499999999997,liv,4,Laptop,1,correct,1.0
A099,4,143.51,5.979583333333333,bat,4,Toothbrushes,1,correct,1.0
A100,1,1.0,0.041666666666666664,kit,4,Toaster,3,perceptual,1.0
A100,2,31.14,1.2975,bat,4,Toothbrushes,1,correct,1.0
A100,3,75.34,3.1391666666666667,bed,4,Alarm Clock,1,correct,1.0
A100,4,146.8,6.116666666666667,liv,4,Laptop,1,correct,0.8
A101,1,1.0,0.041666666666666664,bed,4,Alarm Clock,1,correct,1.0
A101,2,29.12,1.2133333333333334,bat,4,Toothbrushes,1,correct,1.0
A101,3,75.21,3.1337499999999996,kit,4,Toaster,1,correct,0.6
A101,4,150.22,6.259166666666666,liv,4,Laptop,1,correct,0.2
A102,1,1.0,0.041666666666666664,liv,4,Laptop,1,correct,1.0
A102,2,29.13,1.2137499999999999,bat,4,Toothbrushes,1,correct,1.0
A102,3,75.27,3.13625,bed,4,Alarm Clock,1,correct,1.0
A102,4,150.41,6.267083333333333,kit,4,Toaster,2,perceptual,1.0
A103,1,1.0,0.041666666666666664,bat,4,Toothbrushes,1,correct,0.8
A103,2,27.26,1.1358333333333335,kit,4,Toaster,1,correct,0.6
A103,3,80.24,3.3433333333333333,liv,4,Laptop,1,correct,0.2
A103,4,149.72,6.238333333333333,bed,4,Alarm Clock,1,correct,0.6
A104,1,1.0,0.041666666666666664,kit,4,Toaster,1,correct,1.0
A104,2,22.6,0.9416666666666668,bed,4,Alarm Clock,1,correct,1.0
A104,3,72.62,3.0258333333333334,bat,4,Toothbrushes,1,correct,1.0
A104,4,145.78,6.074166666666667,liv,4,Laptop,2,perceptual,1.0
A105,1,1.0,0.041666666666666664,bat,4,Toothbrushes,1,correct,1.0
A105,2,22.77,0.94875,bed,4,Alarm Clock,1,correct,1.0
A105,3,69.46,2.8941666666666666,liv,4,Laptop,1,correct,0.8
A105,4,146.2,6.091666666666666,kit,4,Toaster,2,perceptual,0.8
A106,1,1.0,0.041666666666666664,bat,4,Toothbrushes,1,correct,1.0
A106,2,22.64,0.9433333333333334,bed,4,Alarm Clock,1,correct,1.0
A106,3,66.08,2.7533333333333334,kit,4,Toaster,1,correct,1.0
A106,4,147.13,6.130416666666666,liv,4,Laptop,1,correct,0.6
A107,1,1.0,0.041666666666666664,bed,4,Alarm Clock,1,correct,0.6
A107,2,26.22,1.0925,liv,4,Laptop,2,perceptual,0.4
A107,3,71.45,2.9770833333333333,kit,4,Toaster,1,correct,0.8
A107,4,145.95,6.08125,bat,4,Toothbrushes,1,correct,0.4
A108,1,1.0,0.041666666666666664,liv,4,Laptop,1,correct,1.0
A108,2,27.61,1.1504166666666666,kit,4,Toaster,2,perceptual,0.6
A108,3,68.96,2.873333333333333,bat,4,Toothbrushes,1,correct,1.0
A108,4,152.12,6.338333333333334,bed,4,Alarm Clock,3,perceptual,1.0
A109,1,1.0,0.041666666666666664,bed,4,Alarm Clock,1,correct,1.0
A109,2,24.65,1.0270833333333333,kit,4,Toaster,3,perceptual,0.8
A109,3,71.17,2.9654166666666666,bat,4,Toothbrushes,1,correct,0.8
A109,4,149.87,6.244583333333334,liv,4,Laptop,1,correct,0.6
A010,1,1.0,0.041666666666666664,bat,5,Hammer,1,correct,1.0
A010,2,21.9,0.9125,bed,5,Knife,1,correct,1.0
A010,3,80.88,3.3699999999999997,liv,5,Drill,1,correct,1.0
A010,4,145.31,6.054583333333333,kit,5,Motor Oil,1,correct,0.8
A011,1,1.0,0.041666666666666664,bat,5,Hammer,1,correct,1.0
A011,2,24.57,1.02375,bed,5,Knife,1,correct,1.0
A011,3,72.55,3.0229166666666667,kit,5,Motor Oil,1,correct,1.0
A011,4,148.85,6.202083333333333,liv,5,Drill,1,correct,0.8
A012,1,1.0,0.041666666666666664,bed,5,Knife,1,correct,1.0
A012,2,25.6,1.0666666666666667,liv,5,Drill,1,correct,1.0
A012,3,166.33,6.930416666666667,kit,5,Motor Oil,1,correct,1.0
A012,4,166.87,6.952916666666667,bat,5,Hammer,1,correct,0.8
A013,1,1.0,0.041666666666666664,liv,5,Drill,1,correct,1.0
A013,2,24.77,1.0320833333333332,kit,5,Motor Oil,1,correct,0.8
A013,3,79.66,3.3191666666666664,bat,5,Hammer,1,correct,1.0
A013,4,147.13,6.130416666666666,bed,5,Knife,1,correct,0.2
A014,1,1.0,0.041666666666666664,bed,5,Knife,1,correct,1.0
A014,2,25.66,1.0691666666666666,kit,5,Motor Oil,1,correct,1.0
A014,3,70.56,2.94,bat,5,Hammer,1,correct,1.0
A014,4,148.87,6.202916666666667,liv,5,Drill,1,correct,0.8
A015,1,1.0,0.041666666666666664,kit,5,Motor Oil,1,correct,1.0
A015,2,23.69,0.9870833333333334,bat,5,Hammer,1,correct,1.0
A015,3,70.59,2.94125,bed,5,Knife,1,correct,1.0
A015,4,146.54,6.105833333333333,liv,5,Drill,1,correct,1.0
A016,1,1.0,0.041666666666666664,bed,5,Knife,1,correct,1.0
A016,2,32.85,1.3687500000000001,bat,5,Hammer,1,correct,1.0
A016,3,80.64,3.36,kit,5,Motor Oil,1,correct,1.0
A016,4,150.8,6.283333333333334,liv,5,Drill,1,correct,0.8
A017,1,1.0,0.041666666666666664,liv,5,Drill,1,correct,1.0
A017,2,20.61,0.85875,bat,5,Hammer,2,perceptual,1.0
A017,3,61.28,2.5533333333333332,bed,5,Knife,1,correct,1.0
A017,4,140.49,5.853750000000001,kit,5,Motor Oil,1,correct,1.0
A018,1,1.0,0.041666666666666664,bat,5,Hammer,1,correct,1.0
A018,2,34.03,1.4179166666666667,kit,5,Motor Oil,1,correct,1.0
A018,3,83.64,3.485,liv,5,Drill,1,correct,1.0
A018,4,150.87,6.28625,bed,5,Knife,1,correct,1.0
A019,1,1.0,0.041666666666666664,kit,5,Motor Oil,1,correct,0.8
A019,2,28.69,1.1954166666666668,bed,5,Knife,1,correct,0.8
A019,3,83.68,3.486666666666667,bat,5,Hammer,2,perceptual,0.6
A019,4,154.76,6.448333333333333,liv,5,Drill,1,correct,0.6
A020,1,1.0,0.041666666666666664,bat,5,Hammer,2,perceptual,1.0
A020,2,26.85,1.1187500000000001,bed,5,Knife,1,correct,1.0
A020,3,78.25,3.2604166666666665,kit,5,Motor Oil,1,correct,1.0
A020,4,145.78,6.074166666666667,liv,5,Drill,1,correct,0.8
A021,1,1.0,0.041666666666666664,bat,5,Hammer,1,correct,1.0
A021,2,30.21,1.25875,bed,5,Knife,6,semantic,0.8
A021,3,74.19,3.09125,liv,5,Drill,1,correct,1.0
A021,4,140.39,5.8495833333333325,kit,5,Motor Oil,1,correct,1.0
A022,1,1.0,0.041666666666666664,bed,5,Knife,1,correct,1.0
A022,2,24.15,1.0062499999999999,liv,5,Drill,1,correct,0.8
A022,3,74.46,3.1024999999999996,bat,5,Hammer,1,correct,0.8
A022,4,141.71,5.904583333333334,kit,5,Motor Oil,1,correct,1.0
A023,1,1.0,0.041666666666666664,liv,5,Drill,1,correct,1.0
A023,2,25.63,1.0679166666666666,kit,5,Motor Oil,1,correct,1.0
A023,3,72.2,3.0083333333333333,bed,5,Knife,1,correct,1.0
A023,4,145.07,6.044583333333333,bat,5,Hammer,2,perceptual,0.8
A024,1,1.0,0.041666666666666664,bed,5,Knife,2,perceptual,1.0
A024,2,29.57,1.2320833333333334,kit,5,Motor Oil,1,correct,1.0
A024,3,91.47,3.81125,liv,5,Drill,1,correct,1.0
A024,4,145.65,6.0687500000000005,bat,5,Hammer,1,correct,0.8
A025,1,1.0,0.041666666666666664,kit,5,Motor Oil,1,correct,1.0
A025,2,23.33,0.9720833333333333,bat,5,Hammer,1,correct,0.8
A025,3,72.94,3.0391666666666666,liv,5,Drill,2,perceptual,0.4
A025,4,137.74,5.739166666666667,bed,5,Knife,1,correct,1.0
A026,1,1.0,0.041666666666666664,bed,5,Knife,1,correct,1.0
A026,2,26.48,1.1033333333333333,bat,5,Hammer,1,correct,1.0
A026,3,75.46,3.1441666666666666,liv,5,Drill,1,correct,1.0
A026,4,147.65,6.152083333333334,kit,5,Motor Oil,1,correct,1.0
A027,1,1.0,0.041666666666666664,liv,5,Drill,1,correct,1.0
A027,2,28.26,1.1775,bat,5,Hammer,1,correct,0.8
A027,3,74.58,3.1075,kit,5,Motor Oil,1,correct,1.0
A027,4,145.92,6.079999999999999,bed,5,Knife,1,correct,0.8
A028,1,1.0,0.041666666666666664,bat,5,Hammer,1,correct,1.0
A028,2,22.82,0.9508333333333333,kit,5,Motor Oil,1,correct,1.0
A028,3,72.26,3.0108333333333337,bed,5,Knife,1,correct,1.0
A028,4,138.91,5.787916666666667,liv,5,Drill,1,correct,0.6
A029,1,1.0,0.041666666666666664,kit,5,Motor Oil,1,correct,1.0
A029,2,28.43,1.1845833333333333,bed,5,Knife,1,correct,1.0
A029,3,93.26,3.8858333333333337,liv,5,Drill,1,correct,1.0
A029,4,143.14,5.964166666666666,bat,5,Hammer,2,perceptual,0.6
A030,1,1.0,0.041666666666666664,liv,5,Drill,1,correct,1.0
A030,2,32.95,1.3729166666666668,bed,5,Knife,1,correct,1.0
A030,3,71.93,2.9970833333333338,bat,5,Hammer,1,correct,1.0
A030,4,150.46,6.269166666666667,kit,5,Motor Oil,1,correct,1.0
A031,1,1.0,0.041666666666666664,bat,5,Hammer,2,perceptual,0.8
A031,2,32.41,1.3504166666666666,liv,5,Drill,1,correct,1.0
A031,3,71.56,2.981666666666667,kit,5,Motor Oil,1,correct,1.0
A031,4,143.85,5.9937499999999995,bed,5,Knife,1,correct,0.8
A032,1,1.0,0.041666666666666664,kit,5,Motor Oil,1,correct,1.0
A032,2,57.18,2.3825,liv,5,Drill,1,correct,0.4
A032,3,80.16,3.34,bed,5,Knife,1,correct,0.6
A032,4,144.51,6.021249999999999,bat,5,Hammer,1,correct,0.6
A033,1,1.0,0.041666666666666664,liv,5,Drill,1,correct,1.0
A033,2,29.16,1.215,bed,5,Knife,1,correct,1.0
A033,3,72.6,3.025,bat,5,Hammer,1,correct,1.0
A033,4,168.33,7.013750000000001,kit,5,Motor Oil,1,correct,1.0
A034,1,1.0,0.041666666666666664,bed,5,Knife,1,correct,1.0
A034,2,26.08,1.0866666666666667,bat,5,Hammer,1,correct,1.0
A034,3,74.28,3.095,kit,5,Motor Oil,1,correct,1.0
A034,4,145.38,6.0575,liv,5,Drill,1,correct,1.0
A035,1,1.0,0.041666666666666664,liv,5,Drill,1,correct,1.0
A035,2,44.76,1.865,bat,5,Hammer,1,correct,1.0
A035,3,79.98,3.3325,bed,5,Knife,1,correct,1.0
A035,4,152.47,6.352916666666666,kit,5,Motor Oil,1,correct,1.0
A036,1,1.0,0.041666666666666664,bed,5,Knife,1,correct,1.0
A036,2,21.63,0.90125,kit,5,Motor Oil,1,correct,0.8
A036,3,71.47,2.9779166666666668,bat,5,Hammer,1,correct,0.4
A036,4,143.85,5.9937499999999995,liv,5,Drill,1,correct,0.8
A037,1,1.0,0.041666666666666664,kit,5,Motor Oil,1,correct,1.0
A037,2,23.7,0.9874999999999999,bat,5,Hammer,1,correct,1.0
A037,3,72.08,3.0033333333333334,bed,5,Knife,1,correct,0.8
A037,4,143.66,5.985833333333333,liv,5,Drill,1,correct,1.0
A038,1,1.0,0.041666666666666664,bat,5,Hammer,2,perceptual,0.8
A038,2,71.85,2.99375,liv,5,Drill,2,perceptual,0.8
A038,3,72.86,3.035833333333333,kit,5,Motor Oil,1,correct,1.0
A038,4,152.89,6.370416666666666,bed,5,Knife,1,correct,1.0
A039,1,1.0,0.041666666666666664,kit,5,Motor Oil,1,correct,1.0
A039,2,28.65,1.1937499999999999,liv,5,Drill,1,correct,1.0
A039,3,98.84,4.118333333333333,bat,5,Hammer,1,correct,1.0
A039,4,246.24,10.26,bed,5,Knife,1,correct,1.0
A040,1,1.0,0.041666666666666664,liv,5,Drill,1,correct,1.0
A040,2,26.26,1.0941666666666667,bed,5,Knife,1,correct,0.4
A040,3,71.28,2.97,kit,5,Motor Oil,1,correct,1.0
A040,4,143.53,5.980416666666667,bat,5,Hammer,3,perceptual,0.2
A041,1,1.0,0.041666666666666664,bat,5,Hammer,1,correct,1.0
A041,2,31.78,1.3241666666666667,liv,5,Drill,1,correct,1.0
A041,3,75.74,3.1558333333333333,bed,5,Knife,1,correct,1.0
A041,4,141.84,5.91,kit,5,Motor Oil,1,correct,1.0
A042,1,1.0,0.041666666666666664,kit,5,Motor Oil,1,correct,1.0
A042,2,28.93,1.2054166666666666,liv,5,Drill,1,correct,1.0
A042,3,72.17,3.0070833333333336,bat,5,Hammer,1,correct,1.0
A042,4,146.02,6.084166666666667,bed,5,Knife,1,correct,1.0
A043,1,1.0,0.041666666666666664,liv,5,Drill,1,correct,1.0
A043,2,25.62,1.0675000000000001,bed,5,Knife,1,correct,1.0
A043,3,64.94,2.705833333333333,kit,5,Motor Oil,1,correct,1.0
A043,4,149.33,6.222083333333334,bat,5,Hammer,1,correct,1.0
A044,1,1.0,0.041666666666666664,bed,5,Knife,1,correct,1.0
A044,2,47.66,1.9858333333333331,bat,5,Hammer,1,correct,0.6
A044,3,91.63,3.8179166666666666,liv,5,Drill,1,correct,1.0
A044,4,155.27,6.4695833333333335,kit,5,Motor Oil,1,correct,0.8
A045,1,1.0,0.041666666666666664,liv,5,Drill,1,correct,1.0
A045,2,24.66,1.0275,bat,5,Hammer,1,correct,1.0
A045,3,72.23,3.0095833333333335,kit,5,Motor Oil,1,correct,1.0
A045,4,151.52,6.3133333333333335,bed,5,Knife,1,correct,0.6
A046,1,1.0,0.041666666666666664,bed,5,Knife,1,correct,1.0
A046,2,24.32,1.0133333333333334,kit,5,Motor Oil,1,correct,0.8
A046,3,73.05,3.0437499999999997,liv,5,Drill,2,perceptual,0.6
A046,4,147.94,6.164166666666667,bat,5,Hammer,2,perceptual,0.8
A047,1,1.0,0.041666666666666664,kit,5,Motor Oil,1,correct,1.0
A047,2,23.46,0.9775,bat,5,Hammer,1,correct,1.0
A047,3,76.85,3.202083333333333,liv,5,Drill,1,correct,1.0
A047,4,144.22,6.009166666666666,bed,5,Knife,1,correct,0.8
A048,1,1.0,0.041666666666666664,bat,5,Hammer,1,correct,1.0
A048,2,23.91,0.99625,liv,5,Drill,1,correct,0.8
A048,3,81.15,3.38125,bed,5,Knife,1,correct,0.6
A048,4,146.3,6.095833333333334,kit,5,Motor Oil,1,correct,0.2
A049,1,1.0,0.041666666666666664,kit,5,Motor Oil,1,correct,1.0
A049,2,27.12,1.1300000000000001,liv,5,Drill,1,correct,1.0
A049,3,111.38,4.640833333333333,bed,5,Knife,1,correct,1.0
A049,4,168.86,7.035833333333334,bat,5,Hammer,1,correct,1.0
A050,1,1.0,0.041666666666666664,liv,5,Drill,1,correct,1.0
A050,2,24.73,1.0304166666666668,kit,5,Motor Oil,1,correct,1.0
A050,3,93.39,3.89125,bat,5,Hammer,1,correct,1.0
A050,4,148.69,6.195416666666667,bed,5,Knife,1,correct,1.0
A051,1,1.0,0.041666666666666664,bat,5,Hammer,1,correct,1.0
A051,2,17.16,0.715,kit,5,Motor Oil,1,correct,1.0
A051,3,65.63,2.734583333333333,liv,5,Drill,1,correct,1.0
A051,4,146.99,6.124583333333334,bed,5,Knife,1,correct,1.0
A052,1,1.0,0.041666666666666664,kit,5,Motor Oil,1,correct,1.0
A052,2,31.76,1.3233333333333335,bed,5,Knife,1,correct,1.0
A052,3,80.98,3.374166666666667,liv,5,Drill,1,correct,1.0
A052,4,153.27,6.38625,bat,5,Hammer,2,perceptual,0.8
A053,1,1.0,0.041666666666666664,bat,5,Hammer,2,perceptual,1.0
A053,2,32.71,1.3629166666666668,bed,5,Knife,1,correct,1.0
A053,3,78.28,3.2616666666666667,liv,5,Drill,1,correct,1.0
A053,4,148.9,6.204166666666667,kit,5,Motor Oil,1,correct,1.0
A054,1,1.0,0.041666666666666664,bed,5,Knife,1,correct,1.0
A054,2,16.9,0.7041666666666666,liv,5,Drill,1,correct,1.0
A054,3,72.83,3.0345833333333334,kit,5,Motor Oil,1,correct,1.0
A054,4,136.83,5.701250000000001,bat,5,Hammer,1,correct,1.0
A055,1,1.0,0.041666666666666664,liv,5,Drill,1,correct,1.0
A055,2,23.24,0.9683333333333333,kit,5,Motor Oil,1,correct,1.0
A055,3,74.48,3.1033333333333335,bed,5,Knife,1,correct,1.0
A055,4,149.21,6.217083333333334,bat,5,Hammer,2,perceptual,0.6
A056,1,1.0,0.041666666666666664,bat,5,Hammer,1,correct,0.8
A056,2,33.61,1.4004166666666666,kit,5,Motor Oil,1,correct,1.0
A056,3,71.46,2.9774999999999996,bed,5,Knife,1,correct,1.0
A056,4,147.84,6.16,liv,5,Drill,2,perceptual,1.0
A057,1,1.0,0.041666666666666664,kit,5,Motor Oil,1,correct,1.0
A057,2,24.78,1.0325,bed,5,Knife,1,correct,1.0
A057,3,73.83,3.07625,bat,5,Hammer,2,perceptual,0.6
A057,4,145.06,6.0441666666666665,liv,5,Drill,2,perceptual,0.2
A058,1,1.0,0.041666666666666664,bat,5,Hammer,1,correct,1.0
A058,2,22.96,0.9566666666666667,bed,5,Knife,1,correct,1.0
A058,3,66.28,2.7616666666666667,kit,5,Motor Oil,1,correct,1.0
A058,4,143.48,5.978333333333333,liv,5,Drill,1,correct,1.0
A059,1,1.0,0.041666666666666664,bed,5,Knife,1,correct,1.0
A059,2,30.4,1.2666666666666666,liv,5,Drill,1,correct,1.0
A059,3,79.78,3.3241666666666667,bat,5,Hammer,2,perceptual,0.2
A059,4,151.93,6.330416666666667,kit,5,Motor Oil,1,correct,1.0
A060,1,1.0,0.041666666666666664,liv,5,Drill,1,correct,1.0
A060,2,24.87,1.0362500000000001,kit,5,Motor Oil,1,correct,1.0
A060,3,94.68,3.9450000000000003,bed,5,Knife,1,correct,1.0
A060,4,143.91,5.99625,bat,5,Hammer,1,correct,1.0
A061,1,1.0,0.041666666666666664,bat,5,Hammer,1,correct,1.0
A061,2,35.16,1.4649999999999999,kit,5,Motor Oil,1,correct,1.0
A061,3,82.55,3.439583333333333,bed,5,Knife,1,correct,1.0
A061,4,146.56,6.1066666666666665,liv,5,Drill,1,correct,1.0
A062,1,1.0,0.041666666666666664,kit,5,Motor Oil,1,correct,1.0
A062,2,44.69,1.8620833333333333,bed,5,Knife,1,correct,0.4
A062,3,92.72,3.8633333333333333,bat,5,Hammer,2,perceptual,0.2
A062,4,149.18,6.215833333333333,liv,5,Drill,1,correct,0.4
A063,1,1.0,0.041666666666666664,bat,5,Hammer,1,correct,1.0
A063,2,21.98,0.9158333333333334,bed,5,Knife,1,correct,0.8
A063,3,69.99,2.91625,kit,5,Motor Oil,1,correct,0.8
A063,4,141.09,5.87875,liv,5,Drill,1,correct,0.6
A064,1,1.0,0.041666666666666664,bed,5,Knife,1,correct,1.0
A064,2,37.65,1.5687499999999999,liv,5,Drill,1,correct,1.0
A064,3,82.99,3.4579166666666663,bat,5,Hammer,1,correct,0.8
A064,4,156.21,6.50875,kit,5,Motor Oil,1,correct,0.8
A065,1,1.0,0.041666666666666664,liv,5,Drill,1,correct,1.0
A065,2,32.31,1.3462500000000002,kit,5,Motor Oil,1,correct,0.6
A065,3,106.41,4.43375,bat,5,Hammer,4,semantic,0.2
A065,4,187.43,7.809583333333333,bed,5,Knife,1,correct,0.4
A066,1,1.0,0.041666666666666664,bat,5,Hammer,1,correct,0.8
A066,2,23.35,0.9729166666666668,kit,5,Motor Oil,1,correct,1.0
A066,3,73.79,3.0745833333333334,liv,5,Drill,1,correct,1.0
A066,4,164.93,6.872083333333333,bed,5,Knife,1,correct,0.6
A067,1,1.0,0.041666666666666664,kit,5,Motor Oil,1,correct,1.0
A067,2,29.91,1.24625,bed,5,Knife,1,correct,0.8
A067,3,73.19,3.049583333333333,liv,5,Drill,1,correct,1.0
A067,4,144.19,6.007916666666667,bat,5,Hammer,3,perceptual,0.6
A068,1,1.0,0.041666666666666664,bat,5,Hammer,1,correct,1.0
A068,2,30.49,1.2704166666666665,bed,5,Knife,1,correct,1.0
A068,3,82.98,3.4575,liv,5,Drill,1,correct,1.0
A068,4,155.59,6.482916666666667,kit,5,Motor Oil,1,correct,1.0
A069,1,1.0,0.041666666666666664,bed,5,Knife,1,correct,0.8
A069,2,24.96,1.04,liv,5,Drill,1,correct,1.0
A069,3,79.75,3.3229166666666665,kit,5,Motor Oil,1,correct,0.8
A069,4,140.22,5.8425,bat,5,Hammer,2,perceptual,1.0
A070,1,1.0,0.041666666666666664,liv,5,Drill,1,correct,1.0
A070,2,24.25,1.0104166666666667,bat,5,Hammer,1,correct,1.0
A070,3,81.92,3.4133333333333336,kit,5,Motor Oil,1,correct,1.0
A070,4,149.2,6.216666666666666,bed,5,Knife,1,correct,0.4
A071,1,1.0,0.041666666666666664,bed,5,Knife,1,correct,1.0
A071,2,30.92,1.2883333333333333,kit,5,Motor Oil,1,correct,0.8
A071,3,79.96,3.3316666666666666,liv,5,Drill,1,correct,1.0
A071,4,153.27,6.38625,bat,5,Hammer,2,perceptual,0.8
A072,1,1.0,0.041666666666666664,kit,5,Motor Oil,1,correct,1.0
A072,2,33.76,1.4066666666666665,bat,5,Hammer,1,correct,1.0
A072,3,83.54,3.4808333333333334,liv,5,Drill,1,correct,1.0
A072,4,154.89,6.453749999999999,bed,5,Knife,1,correct,1.0
A073,1,1.0,0.041666666666666664,bat,5,Hammer,1,correct,1.0
A073,2,66.66,2.7775,liv,5,Drill,1,correct,1.0
A073,3,66.9,2.7875,bed,5,Knife,1,correct,1.0
A073,4,140.12,5.838333333333334,kit,5,Motor Oil,1,correct,1.0
A074,1,1.0,0.041666666666666664,kit,5,Motor Oil,1,correct,1.0
A074,2,29.33,1.2220833333333332,liv,5,Drill,1,correct,1.0
A074,3,73.02,3.0425,bed,5,Knife,1,correct,1.0
A074,4,147.21,6.13375,bat,5,Hammer,2,perceptual,0.8
A075,1,1.0,0.041666666666666664,liv,5,Drill,1,correct,1.0
A075,2,28.68,1.195,bed,5,Knife,1,correct,1.0
A075,3,71.37,2.9737500000000003,kit,5,Motor Oil,1,correct,0.8
A075,4,244.53,10.18875,bat,5,Hammer,2,perceptual,0.4
A076,1,1.0,0.041666666666666664,bat,5,Hammer,1,correct,1.0
A076,2,27.3,1.1375,liv,5,Drill,1,correct,1.0
A076,3,74.88,3.1199999999999997,bed,5,Knife,1,correct,1.0
A076,4,149.28,6.22,kit,5,Motor Oil,1,correct,1.0
A077,1,1.0,0.041666666666666664,kit,5,Motor Oil,1,correct,1.0
A077,2,53.88,2.245,liv,5,Drill,1,correct,1.0
A077,3,78.36,3.265,bat,5,Hammer,1,correct,0.6
A077,4,149.75,6.239583333333333,bed,5,Knife,1,correct,1.0
A078,1,1.0,0.041666666666666664,liv,5,Drill,1,correct,1.0
A078,2,26.17,1.0904166666666668,bed,5,Knife,1,correct,1.0
A078,3,72.3,3.0124999999999997,kit,5,Motor Oil,1,correct,1.0
A078,4,140.08,5.836666666666667,bat,5,Hammer,1,correct,0.4
A079,1,1.0,0.041666666666666664,bed,5,Knife,2,perceptual,1.0
A079,2,26.11,1.0879166666666666,bat,5,Hammer,2,perceptual,0.8
A079,3,74.0,3.0833333333333335,liv,5,Drill,1,correct,0.6
A079,4,194.42,8.100833333333332,kit,5,Motor Oil,1,correct,1.0
A080,1,1.0,0.041666666666666664,liv,5,Drill,1,correct,1.0
A080,2,29.03,1.2095833333333335,bat,5,Hammer,1,correct,1.0
A080,3,72.87,3.0362500000000003,bed,5,Knife,1,correct,1.0
A080,4,145.77,6.07375,kit,5,Motor Oil,1,correct,1.0
A081,1,1.0,0.041666666666666664,bed,5,Knife,1,correct,1.0
A081,2,31.39,1.3079166666666666,kit,5,Motor Oil,1,correct,1.0
A081,3,80.13,3.3387499999999997,bat,5,Hammer,1,correct,1.0
A081,4,154.53,6.43875,liv,5,Drill,1,correct,0.8
A082,1,1.0,0.041666666666666664,kit,5,Motor Oil,1,correct,1.0
A082,2,27.97,1.1654166666666665,bat,5,Hammer,1,correct,1.0
A082,3,75.71,3.154583333333333,bed,5,Knife,1,correct,1.0
A082,4,170.25,7.09375,liv,5,Drill,1,correct,1.0
A083,1,1.0,0.041666666666666664,bat,5,Hammer,1,correct,1.0
A083,2,25.15,1.0479166666666666,liv,5,Drill,1,correct,1.0
A083,3,74.3,3.095833333333333,kit,5,Motor Oil,5,semantic,1.0
A083,4,144.91,6.037916666666667,bed,5,Knife,1,correct,1.0
A084,1,1.0,0.041666666666666664,kit,5,Motor Oil,1,correct,0.8
A084,2,27.25,1.1354166666666667,liv,5,Drill,1,correct,0.8
A084,3,91.97,3.8320833333333333,bat,5,Hammer,2,perceptual,0.6
A084,4,162.51,6.771249999999999,bed,5,Knife,2,perceptual,0.4
A085,1,1.0,0.041666666666666664,liv,5,Drill,1,correct,1.0
A085,2,24.51,1.02125,bed,5,Knife,1,correct,1.0
A085,3,71.4,2.975,bat,5,Hammer,1,correct,1.0
A085,4,170.65,7.110416666666667,kit,5,Motor Oil,1,correct,1.0
A086,1,1.0,0.041666666666666664,bat,5,Hammer,1,correct,1.0
A086,2,23.47,0.9779166666666667,liv,5,Drill,1,correct,1.0
A086,3,145.29,6.05375,kit,5,Motor Oil,1,correct,1.0
